parametro,otimalidade_seed 1, otimalidade_seed 2, otimalidade_seed 3, tempo seed 1, tempo seed 2, tempo seed 3
0.0,22.715200448530794,14.8645695749874
0.1,31.200182531625032,97.23269776666227
0.2,39.34716796567019,97.71234796666249
0.3,42.73353529039977,98.06163861666573
0.4,46.83418238675049,98.40432605000387
0.5,50.16781554273326,98.340171533336
0.6,53.890051624589034,99.13963287499791
0.7,56.938268767150674,99.19724594165746
0.8,61.459883363185405,99.84851333333548
0.9,62.83778226263576,100.07764103332981
1.0,68.22018282406306,84.39460347499214

