parametro,otimalidade_13,otimalidade_14,otimalidade_15,tempo_13,tempo_14,tempo_15
0.0,43.21315871289634,42.17113354702758,43.43230719599176,2.521997141666361,2.487716375001279,2.5078633666732153
0.01,73.25947640139354,74.22087390067593,74.37565855244992,23.913587425001122,23.97949446666947,25.356279508331983
0.02,73.82265744981775,73.27978821762689,74.97812383314461,25.4514361666661,27.23986587499773,26.13799201666552
0.03,72.09718970162959,72.37400676328092,72.43192478115533,23.755907500000223,30.50744874166412,23.403453333334863
0.04,68.07620094228598,71.12525688579036,70.65223022793627,22.223702750001394,23.765804641669092,21.046399133333278
0.05,68.52034091488915,67.33500791793865,66.87075729230763,21.180965374997566,16.891422508330532,16.085996016665984
0.06,65.65549342479588,66.32407688882482,66.03377577083786,16.870025016668176,18.153116350001557,16.787714250002562
0.07,64.44378700048513,63.56659266092786,63.96269556181881,17.53753175833117,13.924065199998344,15.682681633336566
0.08,63.6493027732102,62.798416057807735,63.983667454700104,17.534713983334466,13.687653466661382,18.048661349998536
0.09,61.08480281784938,61.18870506759763,63.07861316155177,14.571956383331175,15.007355441666732,17.80176368333923
0.1,61.068061642819735,60.94488111841195,62.39678841363442,17.79650205833362,12.844549150002422,15.35488022500067
