parametro,otimalidade,tempo
False,63.73039725977831,95.03086655001
True,62.83778226263576,102.55267860000215
parametro,otimalidade,tempo
False,64.65115344460756,12.255492774997643
True,66.85518929154738,12.3948387416555
parametro,otimalidade,tempo
False,60.802938901427126,6.327908466676793
True,54.2242167389723,1.1594854249997297
parametro,otimalidade,tempo
False,64.2435230598957,7.312314475013409
True,66.85518929154738,7.70881809166652
parametro,otimalidade_13,tempo_13,otimalidade_14,tempo_14,otimalidade_15,tempo_15
False,65.02076819399996,5.440965333332618,64.56759478872063,5.409715950003981,63.42648951438915,5.495581208349904
True,67.5537386347652,4.6344526499936665,67.15683759243718,4.849519166668567,69.02925663703941,5.235674916688974
parametro,otimalidade_13,otimalidade_14,otimalidade_15,tempo_13,tempo_14,tempo_15
