parametro,otimalidade_13,otimalidade_14,otimalidade_15,tempo_13,tempo_14,tempo_15
0.0,71.78274951367072,74.2999134740861,74.08712276816432,23.207924266668368,27.240787083334,25.732746825000504
0.1,74.39412164565331,73.0213379138897,72.38567445427327,29.007624516663782,26.75082484166099,24.6098033916666
0.2,72.80078910050025,74.32056386837593,73.21479297769133,27.40439424167077,29.036439799999545,26.529031991670006
0.3,72.27793201247535,75.36816454220642,73.48127256715682,25.009830966664595,27.977369491668167,27.968466416663432
0.4,72.89353123457474,73.24133715187726,73.93274798609407,25.839532624995627,25.752995958335912,23.555024133330637
0.5,74.24235384791812,73.18662073461375,72.3415702755181,28.837894091661536,26.185632924997964,26.507708016659308
0.6,73.66838142719291,73.75580503235078,74.50191946475975,27.187065550002444,29.303003491664033,27.982625666666234
0.7,71.16382992293114,72.55900188811906,72.22392480360448,24.52410725833276,20.487740016668493,22.88796661667099
0.8,72.75868920526524,72.01604801586583,72.45832218136111,26.72401599166672,26.037184941667267,25.748423849998897
0.9,73.82265744981775,73.27978821762689,74.97812383314461,25.3925258666665,27.25916028334177,26.13378047500252
1.0,73.39920100447172,72.66523994044421,72.69904611445456,29.238995533339523,23.980184158327273,27.455267924999742
